,0,1,Prediction
73,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (70) - Copy.jpg,angry,angry
74,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (71) - Copy.jpg,angry,angry
75,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (72) - Copy.jpg,angry,angry
76,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (73) - Copy.jpg,angry,angry
77,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (74) - Copy.jpg,angry,angry
78,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (75) - Copy.jpg,angry,angry
79,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (76) - Copy.jpg,angry,angry
80,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (77) - Copy.jpg,angry,angry
81,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (78) - Copy.jpg,angry,angry
82,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (79) - Copy.jpg,angry,angry
83,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (8) - Copy.jpg,angry,angry
84,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (8).jpg,angry,angry
85,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (80) - Copy.jpg,angry,angry
86,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (81) - Copy.jpg,angry,angry
87,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (9) - Copy.jpg,angry,angry
88,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (9).jpg,angry,angry
89,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy - Copy (2).jpg,angry,angry
90,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy - Copy (3).jpg,angry,angry
91,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy - Copy (4).jpg,angry,angry
92,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy - Copy (5).jpg,angry,angry
93,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy - Copy (6).jpg,angry,angry
94,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy - Copy (7).jpg,angry,angry
95,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy - Copy (8).jpg,angry,angry
96,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy - Copy (9).jpg,angry,angry
97,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy - Copy.jpg,angry,angry
98,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy.jpg,angry,angry
99,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052.jpg,angry,angry
100,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (10) - Copy.jpg,angry,angry
101,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (10).jpg,angry,angry
102,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (11) - Copy.jpg,angry,angry
103,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (11).jpg,angry,angry
104,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (12) - Copy.jpg,angry,angry
105,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (12).jpg,angry,angry
106,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (13) - Copy.jpg,angry,angry
107,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (13).jpg,angry,angry
108,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (14) - Copy.jpg,angry,angry
109,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (14).jpg,angry,angry
110,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (15) - Copy.jpg,angry,angry
111,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (15).jpg,angry,angry
112,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (16) - Copy.jpg,angry,angry
113,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (16).jpg,angry,angry
114,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (17) - Copy.jpg,angry,angry
115,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (17).jpg,angry,angry
116,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (18) - Copy.jpg,angry,angry
117,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (18).jpg,angry,angry
118,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (19) - Copy.jpg,angry,angry
119,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (2).jpg,angry,angry
120,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (20) - Copy.jpg,angry,angry
121,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (21) - Copy.jpg,angry,angry
122,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (22) - Copy.jpg,angry,angry
123,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (23) - Copy.jpg,angry,angry
124,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (24) - Copy.jpg,angry,angry
125,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (25) - Copy.jpg,angry,angry
126,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (26) - Copy.jpg,angry,angry
127,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (27) - Copy.jpg,angry,angry
128,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (28) - Copy.jpg,angry,angry
129,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (29) - Copy.jpg,angry,angry
130,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (3).jpg,angry,angry
131,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (30) - Copy.jpg,angry,angry
132,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (31) - Copy.jpg,angry,angry
133,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (32) - Copy.jpg,angry,angry
134,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (33) - Copy.jpg,angry,angry
135,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (34) - Copy.jpg,angry,angry
136,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (35) - Copy.jpg,angry,angry
137,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (36) - Copy.jpg,angry,angry
138,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (37) - Copy.jpg,angry,angry
139,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (38) - Copy.jpg,angry,angry
140,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (39) - Copy.jpg,angry,angry
141,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (4).jpg,angry,angry
142,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (40) - Copy.jpg,angry,angry
143,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (41) - Copy.jpg,angry,angry
144,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (42) - Copy.jpg,angry,angry
145,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (43) - Copy.jpg,angry,angry
146,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (44) - Copy.jpg,angry,angry
147,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (45) - Copy.jpg,angry,angry
148,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (46) - Copy.jpg,angry,angry
149,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (47) - Copy.jpg,angry,angry
150,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (48) - Copy.jpg,angry,angry
151,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (49) - Copy.jpg,angry,angry
152,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (5).jpg,angry,angry
153,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (50) - Copy.jpg,angry,angry
154,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (51) - Copy.jpg,angry,angry
155,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (52) - Copy.jpg,angry,angry
156,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (53) - Copy.jpg,angry,angry
157,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (54) - Copy.jpg,angry,angry
158,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (55) - Copy.jpg,angry,angry
159,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (56) - Copy.jpg,angry,angry
160,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (57) - Copy.jpg,angry,angry
161,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (58) - Copy.jpg,angry,angry
162,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (59) - Copy.jpg,angry,angry
163,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (6).jpg,angry,angry
164,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (60) - Copy.jpg,angry,angry
165,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (61) - Copy.jpg,angry,angry
166,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (62) - Copy.jpg,angry,angry
167,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (63) - Copy.jpg,angry,angry
168,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (64) - Copy.jpg,angry,angry
169,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (65) - Copy.jpg,angry,angry
170,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (66) - Copy.jpg,angry,angry
171,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (67) - Copy.jpg,angry,angry
172,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (68) - Copy.jpg,angry,angry
173,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (69) - Copy.jpg,angry,angry
174,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (7).jpg,angry,angry
175,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (70) - Copy.jpg,angry,angry
176,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (71) - Copy.jpg,angry,angry
177,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (8) - Copy.jpg,angry,angry
178,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (8).jpg,angry,angry
179,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (9) - Copy.jpg,angry,angry
180,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy (9).jpg,angry,angry
181,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy - Copy (2).jpg,angry,angry
182,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy - Copy (3).jpg,angry,angry
183,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy - Copy (4).jpg,angry,angry
184,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy - Copy (5).jpg,angry,angry
185,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy - Copy (6).jpg,angry,angry
186,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy - Copy.jpg,angry,angry
187,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079 - Copy.jpg,angry,angry
188,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10079.jpg,angry,angry
189,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (10) - Copy - Copy.jpg,angry,angry
190,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (10) - Copy.jpg,angry,angry
191,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (10).jpg,angry,angry
192,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (100) - Copy - Copy.jpg,angry,angry
193,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (100) - Copy.jpg,angry,angry
194,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (101) - Copy - Copy.jpg,angry,angry
195,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (101) - Copy.jpg,angry,angry
196,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (102) - Copy - Copy.jpg,angry,angry
197,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (102) - Copy.jpg,angry,angry
198,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (103) - Copy - Copy.jpg,angry,angry
199,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (103) - Copy.jpg,angry,angry
200,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (104) - Copy - Copy.jpg,angry,angry
201,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (104) - Copy.jpg,angry,angry
202,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (105) - Copy - Copy.jpg,angry,angry
203,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (105) - Copy.jpg,angry,angry
204,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (106) - Copy - Copy.jpg,angry,angry
205,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (106) - Copy.jpg,angry,angry
206,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (107) - Copy - Copy.jpg,angry,angry
207,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (107) - Copy.jpg,angry,angry
208,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (108) - Copy - Copy.jpg,angry,angry
209,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (108) - Copy.jpg,angry,angry
210,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (109) - Copy - Copy.jpg,angry,angry
211,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (109) - Copy.jpg,angry,angry
212,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (11) - Copy - Copy.jpg,angry,angry
213,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (11) - Copy.jpg,angry,angry
214,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (11).jpg,angry,angry
215,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (110) - Copy - Copy.jpg,angry,angry
216,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (110) - Copy.jpg,angry,angry
217,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (111) - Copy - Copy.jpg,angry,angry
218,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (111) - Copy.jpg,angry,angry
219,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (112) - Copy - Copy.jpg,angry,angry
220,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (112) - Copy.jpg,angry,angry
221,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (113) - Copy - Copy.jpg,angry,angry
222,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (113) - Copy.jpg,angry,angry
223,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (114) - Copy - Copy.jpg,angry,angry
224,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (114) - Copy.jpg,angry,angry
225,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (115) - Copy - Copy.jpg,angry,angry
226,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10121 - Copy (115) - Copy.jpg,angry,angry
